id_hecho;fecha;aaaa;victima;sexo_victima;edad_victima;gravedad;rol_victima;fecha_fallemiento;tipo_de_dato
LC-2019-0000053;2019-01-01;2019;sd;Varon;57;SD;SD;NA;definitivo
LC-2019-0000063;2019-01-01;2019;sd;SD;SD;SD;SD;NA;definitivo
LC-2019-0000079;2019-01-01;2019;sd;Varon;SD;SD;SD;NA;definitivo
LC-2019-0000082;2019-01-01;2019;sd;Varon;45;SD;SD;NA;definitivo
LC-2019-0000082;2019-01-01;2019;sd;Mujer;45;SD;SD;NA;definitivo
LC-2019-0000082;2019-01-01;2019;sd;Varon;27;SD;SD;NA;definitivo
LC-2019-0000082;2019-01-01;2019;sd;Mujer;32;SD;SD;NA;definitivo
LC-2019-0000136;2019-01-01;2019;sd;Varon;21;SD;SD;NA;definitivo
LC-2019-0000136;2019-01-01;2019;sd;Mujer;21;SD;SD;NA;definitivo
LC-2019-0000142;2019-01-01;2019;sd;Varon;37;SD;SD;NA;definitivo
LC-2019-0000179;2019-01-01;2019;sd;SD;SD;SD;SD;NA;definitivo
LC-2019-0000194;2019-01-01;2019;sd;Mujer;33;SD;SD;NA;definitivo
LC-2019-0000202;2019-01-01;2019;sd;Varon;25;SD;SD;NA;definitivo
LC-2019-0000329;2019-01-01;2019;sd;Varon;23;SD;SD;NA;definitivo
LC-2019-0000347;2019-01-01;2019;sd;Varon;SD;SD;SD;NA;definitivo
LC-2019-0000445;2019-01-01;2019;sd;Varon;42;SD;SD;NA;definitivo
LC-2019-0000445;2019-01-01;2019;sd;Mujer;42;SD;SD;NA;definitivo
LC-2019-0000445;2019-01-01;2019;sd;Varon;37;SD;SD;NA;definitivo
LC-2019-0000493;2019-01-01;2019;sd;Varon;53;SD;SD;NA;definitivo
LC-2019-0000600;2019-01-01;2019;sd;Mujer;1;SD;SD;NA;definitivo
LC-2019-0000636;2019-01-01;2019;sd;Mujer;62;SD;SD;NA;definitivo
LC-2019-0000647;2019-01-01;2019;sd;Varon;SD;SD;SD;NA;definitivo
LC-2019-0000686;2019-01-01;2019;sd;Mujer;67;SD;SD;NA;definitivo
LC-2019-0005235;2019-01-01;2019;sd;Mujer;75;SD;SD;NA;definitivo
LC-2019-0000928;2019-01-02;2019;sd;Mujer;40;SD;SD;NA;definitivo
LC-2019-0000963;2019-01-02;2019;sd;Mujer;48;SD;SD;NA;definitivo
LC-2019-0000963;2019-01-02;2019;sd;Varon;48;SD;SD;NA;definitivo
LC-2019-0000963;2019-01-02;2019;sd;Mujer;27;SD;SD;NA;definitivo
LC-2019-0000963;2019-01-02;2019;sd;Mujer;3;SD;SD;NA;definitivo
LC-2019-0000963;2019-01-02;2019;sd;Mujer;33;SD;SD;NA;definitivo
LC-2019-0001754;2019-01-02;2019;sd;Mujer;49;SD;SD;NA;definitivo
LC-2019-0001879;2019-01-02;2019;sd;SD;SD;SD;SD;NA;definitivo
LC-2019-0001948;2019-01-02;2019;sd;Varon;SD;SD;SD;NA;definitivo
LC-2019-0001987;2019-01-02;2019;sd;Varon;50;SD;SD;NA;definitivo
LC-2019-0001992;2019-01-02;2019;sd;Varon;34;SD;SD;NA;definitivo
LC-2019-0002083;2019-01-02;2019;sd;Varon;27;SD;SD;NA;definitivo
LC-2019-0002208;2019-01-02;2019;sd;Varon;34;SD;SD;NA;definitivo
LC-2019-0002218;2019-01-02;2019;sd;Varon;52;SD;SD;NA;definitivo
LC-2019-0002740;2019-01-02;2019;sd;Varon;44;SD;SD;NA;definitivo
LC-2019-0003220;2019-01-02;2019;sd;Mujer;28;SD;SD;NA;definitivo
LC-2019-0003220;2019-01-02;2019;sd;Varon;28;SD;SD;NA;definitivo
LC-2019-0003340;2019-01-02;2019;sd;SD;SD;SD;SD;NA;definitivo
LC-2019-0005610;2019-01-02;2019;sd;Varon;59;SD;SD;NA;definitivo
LC-2019-0020183;2019-01-02;2019;sd;Varon;50;SD;SD;NA;definitivo
LC-2019-0022496;2019-01-02;2019;sd;Varon;73;SD;SD;NA;definitivo
LC-2019-0003428;2019-01-03;2019;sd;Varon;45;SD;SD;NA;definitivo
LC-2019-0003432;2019-01-03;2019;sd;Varon;27;SD;SD;NA;definitivo
LC-2019-0003642;2019-01-03;2019;sd;Varon;51;SD;SD;NA;definitivo
LC-2019-0003787;2019-01-03;2019;sd;Varon;48;SD;SD;NA;definitivo
LC-2019-0003862;2019-01-03;2019;sd;Mujer;37;SD;SD;NA;definitivo
LC-2019-0003862;2019-01-03;2019;sd;Varon;37;SD;SD;NA;definitivo
LC-2019-0003884;2019-01-03;2019;sd;Mujer;SD;SD;SD;NA;definitivo
LC-2019-0004144;2019-01-03;2019;sd;Varon;16;SD;SD;NA;definitivo
LC-2019-0004229;2019-01-03;2019;sd;Mujer;43;SD;SD;NA;definitivo
LC-2019-0004442;2019-01-03;2019;sd;Mujer;38;SD;SD;NA;definitivo
